iter	Passed	Remaining
0	25	37675
1	49	36714
2	74	37157
3	97	36651
4	123	37001
5	146	36495
6	167	35651
7	192	35889
8	217	36032
9	245	36577
10	267	36147
11	288	35738
12	311	35624
13	334	35480
14	355	35195
15	380	35284
16	400	34973
17	434	35798
18	459	35778
19	480	35545
20	503	35441
21	527	35443
22	551	35425
23	575	35396
24	598	35321
25	625	35444
26	648	35376
27	672	35340
28	693	35181
29	715	35054
30	740	35069
31	759	34862
32	784	34895
33	806	34785
34	832	34858
35	856	34830
36	880	34800
37	905	34850
38	930	34846
39	951	34741
40	975	34730
41	996	34598
42	1019	34547
43	1046	34632
44	1073	34693
45	1097	34697
46	1123	34728
47	1144	34607
48	1169	34619
49	1192	34586
50	1216	34576
51	1240	34539
52	1263	34502
53	1287	34478
54	1310	34437
55	1331	34324
56	1356	34341
57	1381	34334
58	1404	34309
59	1427	34257
60	1451	34233
61	1477	34263
62	1499	34206
63	1523	34175
64	1545	34112
65	1572	34168
66	1598	34192
67	1622	34161
68	1648	34192
69	1673	34186
70	1700	34223
71	1724	34201
72	1751	34243
73	1778	34280
74	1804	34285
75	1832	34330
76	1854	34267
77	1881	34297
78	1909	34351
79	1935	34363
80	1960	34350
81	1984	34312
82	2011	34332
83	2037	34338
84	2069	34445
85	2098	34498
86	2127	34557
87	2179	34967
88	2214	35106
89	2263	35468
90	2285	35391
91	2312	35394
92	2337	35360
93	2361	35325
94	2384	35264
95	2408	35217
96	2431	35172
97	2454	35118
98	2478	35077
99	2503	35049
100	2528	35017
101	2550	34959
102	2574	34923
103	2599	34894
104	2623	34859
105	2644	34775
106	2668	34742
107	2696	34749
108	2716	34662
109	2740	34629
110	2764	34590
111	2791	34592
112	2819	34605
113	2845	34590
114	2869	34561
115	2892	34509
116	2917	34489
117	2941	34451
118	2966	34425
119	2993	34427
120	3017	34395
121	3042	34362
122	3062	34290
123	3088	34270
124	3115	34273
125	3141	34256
126	3167	34240
127	3193	34227
128	3220	34222
129	3244	34195
